101,semv,I leopardi bevono il facocero in coppia.,1,I,1,L,O,U,R
101,semv,I leopardi bevono il facocero in coppia.,2,leopardi,8,aviatore,mancanze,tondente,tsngiwox
101,semv,I leopardi bevono il facocero in coppia.,3,bevono,6,audace,canali,plerma,dnjdji
101,semv,I leopardi bevono il facocero in coppia.,4,il,2,va,la,ro,fm
101,semv,I leopardi bevono il facocero in coppia.,5,facocero,8,esibendo,riemerso,glisarno,cwfnlclp
101,semv,I leopardi bevono il facocero in coppia.,6,in,2,la,ho,to,rp
101,semv,I leopardi bevono il facocero in coppia.,7,coppia.,7,ferita.,girare.,grunfo.,civhbh.
101,regular,I leopardi cacciano il facocero in coppia.,1,I,1,L,O,U,G
101,regular,I leopardi cacciano il facocero in coppia.,2,leopardi,8,acrobata,chioccia,stafando,iatorwar
101,regular,I leopardi cacciano il facocero in coppia.,3,cacciano,8,schiverà,scartano,massitro,dalwglwj
101,regular,I leopardi cacciano il facocero in coppia.,4,il,2,un,un,co,fg
101,regular,I leopardi cacciano il facocero in coppia.,5,facocero,8,fioretto,ingoiati,schitigo,brvrbzyl
101,regular,I leopardi cacciano il facocero in coppia.,6,in,2,di,di,fe,tp
101,regular,I leopardi cacciano il facocero in coppia.,7,coppia.,7,scatto.,merito.,cerico.,vxpsne.
101,syntv,I leopardi cacciano la facocero in coppia.,1,I,1,A,O,U,L
101,syntv,I leopardi cacciano la facocero in coppia.,2,leopardi,8,casaccio,presunte,chiseggi,wlqfdghi
101,syntv,I leopardi cacciano la facocero in coppia.,3,cacciano,8,sparerai,esibirsi,ghicisso,rlnetjde
101,syntv,I leopardi cacciano la facocero in coppia.,4,la,2,al,un,co,zb
101,syntv,I leopardi cacciano la facocero in coppia.,5,facocero,8,veterano,giubbino,proderra,pklmrnky
101,syntv,I leopardi cacciano la facocero in coppia.,6,in,2,di,se,de,oc
101,syntv,I leopardi cacciano la facocero in coppia.,7,coppia.,7,sabato.,rimane.,algisi.,mslpqa.
102,semv,Il camaleonte cambia il ragno nel bosco.,1,Il,2,La,La,Ge,Fl
102,semv,Il camaleonte cambia il ragno nel bosco.,2,camaleonte,10,passeggera,incolpando,desinfante,wyoboolesp
102,semv,Il camaleonte cambia il ragno nel bosco.,3,cambia,6,rapina,secolo,asceli,pnmxgq
102,semv,Il camaleonte cambia il ragno nel bosco.,4,il,2,un,un,be,ub
102,semv,Il camaleonte cambia il ragno nel bosco.,5,ragno,5,arabo,corse,fosce,myetz
102,semv,Il camaleonte cambia il ragno nel bosco.,6,nel,3,che,suo,dil,mmf
102,semv,Il camaleonte cambia il ragno nel bosco.,7,bosco.,6,dorme.,mappa.,asaga.,vgzar.
102,regular,Il camaleonte inghiotte il ragno nel bosco.,1,Il,2,La,La,Bi,Tr
102,regular,Il camaleonte inghiotte il ragno nel bosco.,2,camaleonte,10,cortigiana,lavorerete,romescenti,tpuchkkutq
102,regular,Il camaleonte inghiotte il ragno nel bosco.,3,inghiotte,9,condivise,deliziato,pecchisca,rgnnptsmz
102,regular,Il camaleonte inghiotte il ragno nel bosco.,4,il,2,le,ed,ni,bn
102,regular,Il camaleonte inghiotte il ragno nel bosco.,5,ragno,5,birre,fisso,tapra,pizpb
102,regular,Il camaleonte inghiotte il ragno nel bosco.,6,nel,3,con,mai,nai,coe
102,regular,Il camaleonte inghiotte il ragno nel bosco.,7,bosco.,6,tutti.,calci.,solti.,wzyig.
102,syntv,Il camaleonte inghiotte la ragno nel bosco.,1,Il,2,Un,La,Ni,Cf
102,syntv,Il camaleonte inghiotte la ragno nel bosco.,2,camaleonte,10,pellerossa,indossarla,parnamasso,twuunlmccd
102,syntv,Il camaleonte inghiotte la ragno nel bosco.,3,inghiotte,9,avvertirà,peculiare,recannita,bsnjewoll
102,syntv,Il camaleonte inghiotte la ragno nel bosco.,4,la,2,le,un,ca,xf
102,syntv,Il camaleonte inghiotte la ragno nel bosco.,5,ragno,5,bande,fissa,bunno,gmnju
102,syntv,Il camaleonte inghiotte la ragno nel bosco.,6,nel,3,dei,suo,vol,sgd
102,syntv,Il camaleonte inghiotte la ragno nel bosco.,7,bosco.,6,campi.,canto.,finco.,rifhe.
103,regular,Il camionista guida il furgone nella nebbia.,1,Il,2,La,La,Fi,Wk
103,regular,Il camionista guida il furgone nella nebbia.,2,camionista,10,parrocchia,coincidono,sertaghese,adcnflqlom
103,regular,Il camionista guida il furgone nella nebbia.,3,guida,5,rende,tiene,zotto,zteml
103,regular,Il camionista guida il furgone nella nebbia.,4,il,2,la,di,ri,hn
